country,code,year,birthrate,deathrate,population,continent,difference
Saint Martin (French part),MAF,2021,15.053,4.911,31964,North America,10.142
Saint Pierre and Miquelon,SPM,2021,7.577,12.361,5905,North America,-4.784
Saint Vincent and the Grenadines,VCT,2021,12.901,13.425,104340,North America,-0.524
Samoa,WSM,2021,27.254,5.343,218781,Oceania,21.911
San Marino,SMR,2021,5.987,11.58,33772,Europe,-5.593
Sao Tome and Principe,STP,2021,28.263,6.387,223118,Africa,21.876
Saudi Arabia,SAU,2021,17.473,2.864,35950396,Asia,14.609
Senegal,SEN,2021,32.573,5.922,16876726,Africa,26.651
Serbia,SRB,2021,9.266,18.941,7296771,Europe,-9.675
Seychelles,SYC,2021,15.433,8.973,106486,Africa,6.46
Sierra Leone,SLE,2021,31.36,9.113,8420642,Africa,22.247
Singapore,SGP,2021,7.117,5.372,5941063,Asia,1.745
Sint Maarten (Dutch part),SXM,2021,7.655,7.718,44061,North America,-0.063
Slovakia,SVK,2021,9.979,13.307,5447621,Europe,-3.328
Slovenia,SVN,2021,9.044,10.84,2119408,Europe,-1.796
Solomon Islands,SLB,2021,29.785,5.028,707855,Oceania,24.757
Somalia,SOM,2021,43.561,11.596,17065588,Africa,31.965
South Africa,ZAF,2021,19.821,11.432,59392256,Africa,8.389
South Korea,KOR,2021,5.579,6.46,51830136,Asia,-0.881
South Sudan,SSD,2021,29.107,11.05,10748278,Africa,18.057
Spain,ESP,2021,7.553,9.59,47486932,Europe,-2.037
Sri Lanka,LKA,2021,14.019,7.36,21773438,Asia,6.659
Sudan,SDN,2021,33.596,6.799,45657204,Africa,26.797
Suriname,SUR,2021,18.154,8.667,612989,South America,9.487
Sweden,SWE,2021,10.868,8.85,10467095,Europe,2.018
Switzerland,CHE,2021,10.033,8.034,8691409,Europe,1.999
Syria,SYR,2021,20.111,5.117,21324366,Asia,14.994
Taiwan,TWN,2021,7.795,7.403,23859904,Asia,0.392
Tajikistan,TJK,2021,26.749,4.548,9750078,Asia,22.201
Tanzania,TZA,2021,36.21,6.222,63588332,Africa,29.988
Thailand,THA,2021,8.999,7.922,71601100,Asia,1.077
Togo,TGO,2021,31.856,8.168,8644829,Africa,23.688
Tokelau,TKL,2021,18.707,7.314,1869,Oceania,11.393
Tonga,TON,2021,23.045,6.97,106034,Oceania,16.075
Trinidad and Tobago,TTO,2021,11.687,9.131,1525671,North America,2.556
Tunisia,TUN,2021,16.093,7.884,12262949,Africa,8.209
Turkey,TUR,2021,14.678,6.398,84775410,Asia,8.28
Turkmenistan,TKM,2021,21.592,6.585,6341850,Asia,15.007
Turks and Caicos Islands,TCA,2021,12.476,9.241,45141,North America,3.235
Tuvalu,TUV,2021,23.484,10.159,11229,Oceania,13.325
Uganda,UGA,2021,36.795,5.877,45853780,Africa,30.918
Ukraine,UKR,2021,7.721,16.801,43531424,Europe,-9.08
United Arab Emirates,ARE,2021,10.307,1.874,9365149,Asia,8.433
United Kingdom,GBR,2021,10.081,9.716,67281040,Europe,0.365
United States,USA,2021,11.056,9.743,336997630,North America,1.313
United States Virgin Islands,VIR,2021,11.444,14.231,100100,North America,-2.787
Uruguay,URY,2021,10.473,12.162,3426265,South America,-1.689
Uzbekistan,UZB,2021,23.551,6.468,34081452,Asia,17.083
Vanuatu,VUT,2021,29.438,5.395,319146,Oceania,24.043
Vatican,VAT,2021,4.142,21.948,,Europe,-17.806
Venezuela,VEN,2021,15.877,8.124,28199862,South America,7.753
Vietnam,VNM,2021,15.008,7.317,97468024,Asia,7.691
Wallis and Futuna,WLF,2021,11.816,7.373,11654,Oceania,4.443
Western Sahara,ESH,2021,16.781,6.203,565590,Africa,10.578
Yemen,YEM,2021,30.544,6.845,32981644,Asia,23.699
Zambia,ZMB,2021,34.511,6.973,19473132,Africa,27.538
Zimbabwe,ZWE,2021,30.537,9.057,15993525,Africa,21.48
